0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
0,0,0,0,0,0,0,0.14,1.15,2.24,3.05,3.61,3.91,3.8,3.4,2.63,1.52,0.49,0,0,0,0,0,0
0,0,0,0,0,0,0.15,0.97,2,3.07,3.85,4.58,4.76,4.65,4.1,3.34,2.42,1.27,0.44,0,0,0,0,0
0,0,0,0,0,0,0,0.062244,0.524286,1.019844,1.390914,1.644678,1.781136,1.730862,1.551312,1.199394,0.69426,0.222642,0,0,0,0,0,0
0,0,0,0,0,0,0,0.306432,0.835506,1.331064,1.728468,1.972656,2.042082,1.92717,1.635102,1.204182,0.699048,0.184338,0,0,0,0,0,0
0,0,0,0,0,0,0.04788,0.220248,0.402192,0.531468,0.58653,0.744534,0.711018,0.569772,0.57456,0.49077,0.361494,0.160398,0.050274,0,0,0,0,0
0,0,0,0,0,0,0,0.55,1.3,2.21,2.38,2.34,2.65,2.54,2.36,1.2,1.83,0.63,0,0,0,0,0,0
0,0,0,0,0,0,0,0.8,1.98,3.11,4.01,4.57,4.69,4.47,3.9,2.96,1.81,0.63,0,0,0,0,0,0
0,0,0,0,0,0,0,0.363888,0.904932,1.419642,1.829016,2.085174,2.137842,2.037294,1.776348,1.347822,0.823536,0.28728,0,0,0,0,0,0
0,0,0,0,0,0,0,0.361494,0.833112,1.40049,1.766772,2.044476,2.1546,2.051658,1.766772,1.338246,0.816354,0.282492,0,0,0,0,0,0
0,0,0,0,0,0,0,0.354312,0.89775,1.410066,1.817046,2.073204,2.056446,1.884078,1.75959,1.32867,0.806778,0.220248,0,0,0,0,0,0
